id,search,source,priority,hints,title,authors,year,doi,journal,keywords,abstract,exclude_hint,INCLUDE?,notes
,,,,,,,,,,,,,,
2,A,policy_commons,HIGH,,Social Media Monitoring in India: Government Initiatives and Privacy Concerns,,2017,,,privacy; social media; algorithms; monitoring; government; free speech; national security; india; predictive policing; surveillance,"This paper examines the growing trend of social media monitoring by the Indian government, highlighting programs like NETRA, NMAC, and Social Media Labs. It raises concerns about the potential chilling effect on free speech, privacy violations, and the lack of legal frameworks governing these activities. The document also explores how these initiatives leverage techniques like sentiment analysis and predictive policing and touches on the tension between national security and individual rights in the digital age.",,Include,
3,A,policy_commons,MEDIUM,,Analysis of NITI Aayog's Discussion Paper on India's AI Policy,user,2018,,,privacy; ethics; technology; artificial intelligence; niti aayog; policy; regulation; india; data protection,"This paper analyzes NITI Aayog's discussion paper on India's National Strategy for Artificial Intelligence, highlighting its strengths and identifying areas for improvement. It focuses on the identified key sectors for AI intervention, such as healthcare, agriculture, and education, while also pointing out the oversight of manufacturing and services. The analysis raises concerns about the potential for increased state surveillance in smart cities and the need for a robust ethical framework, particularly regarding transparency, fairness, and privacy. Furthermore, the paper discusses the importance of data protection, regulatory standards, and ensuring accountability and safety in AI systems.",,Include,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,A,policy_commons,HIGH,,Big Brother Watch Evidence on Privacy and the Digital Revolution,S,2019,,,facial recognition; privacy; civil liberties; digital revolution; automation; human rights; big brother watch; predictive policing; surveillance; data protection,"This document presents written evidence from Big Brother Watch to the Joint Committee on Human Rights concerning the right to privacy in the digital revolution, focusing on mass surveillance, policing technologies, and automation in public services. The submission highlights concerns about the lack of transparency and public consultation surrounding the adoption of new technologies by public authorities, particularly regarding facial recognition, predictive policing, and welfare systems. Big Brother Watch recommends amendments to the Data Protection Act 2018, particularly concerning automated decisions, and calls for a ban on micro-targeted online advertising. They argue that the government should set a good example by respecting citizens' privacy and ensuring adequate legal protections in the face of rapid technological advancements.",,Include,
7,A,policy_commons,HIGH,smart_city,"Public Comments on Tracy's Smart City Initiative and Council Member Reports - May 2, 2023",Microsoft Office User,2023,,,privacy; clean energy; smart cities; valley link; east bay community energy; public comment; wastewater treatment; city council; urban planning; surveillance,"This document contains public comments from Helen Gallegos Evans expressing concerns about the City of Tracy's ""Smart City"" initiative, focusing on potential mass surveillance and privacy violations. It also includes a report from Council Member Matt Bedolla, detailing meetings and updates from various boards, commissions, and committees, including the East Bay Community Energy Authority, Tri-Valley—San Joaquin Valley Regional Rail Authority (Valley Link), and the South San Joaquin County Fire Authority. The report also covers updates on clean fleet initiatives, Measure V CIP projects, and wastewater treatment needs.",,Include,
,,,,,,,,,,,,,,
9,A,policy_commons,HIGH,,Future Cities: Trends and Implications for Urban Living and Military Operations,,2020,,,future cities; urbanization; smart cities; infrastructure; demographics; military operations; cybersecurity; urban warfare; environmental impact; humanitarian aid,"This report, prepared by the Defence Science and Technology Laboratory (Dstl), examines emerging trends in urban development and their implications for UK Defence and Security. It focuses on rapid urbanization, the growth of smart cities, environmental factors, infrastructure developments, demographic shifts, and the diverse actors shaping urban environments. The report highlights the increasing interconnectedness of cities, their vulnerability to cyber-attacks, and the challenges and opportunities these trends present for military operations and humanitarian efforts, particularly in Africa and Asia.",,Include,
,,,,,,,,,,,,,,
