title,year,doi,source_journal,src_file,triage,verdict,model,raw_response
Situational analysis and urban theory,2024,10.1177/03091325231221777,Progress in Human Geography,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Remaking the Urban: International Actors and the Post-war Reconstruction of Cities,2024,10.1093/isq/sqae054,International Studies Quarterly,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Maybe,deepseek/deepseek-v4-flash,Maybe
‘How can I get there?’: Effects of road system destruction in the northeast of Aleppo governorate under war conditions,2024,10.1016/j.cstp.2024.101241,Case Studies on Transport Policy,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,triage_no_abstract,Exclude,triage,
Towards an exclusionary social contract: Narratives of a revanchist city in (post)war Syria,2025,10.1080/13629395.2024.2379740,Mediterranean Politics,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Include,deepseek/deepseek-v4-flash,Include
Tracing Walkability Through Disruption Assemblages in Aleppo’s (Post‐)Conflict Historic Core,2025,10.17645/up.9605,Urban Planning,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Include,deepseek/deepseek-v4-flash,Include
Capture the Fort: Explaining the Timing of Rebel Assaults on Cities During Wartime,2024,10.1177/00220027231176232,Journal of Conflict Resolution,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Leveraging Geopolitics for the Vertical Diffusion of Social Movements: Hong Kong and the Brokerage of Labour Politics in Mainland China,2025,10.1080/14650045.2024.2440524,Geopolitics,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Dark Humour, Social Media, and Everyday Violence in Nigeria: Gbaa ya ọkụ in Onitsha city",2025,10.1093/afraf/adaf013,African Affairs,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude.
"Challenges and Prospects for Urban Peacebuilding in Post-Siege Marawi City, Philippines: People, Places, and Practices",2024,10.1177/18681034241251864,Journal of Current Southeast Asian Affairs,scopus_export_Jul_20_2026_8e767b48_48f9_4cc6_8a05_ef88ef1c83---df569a66-809b-41d5-9c8b-b3b8fd3474e4.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Analysing Everyday Conflicts from a Socio-spatial Perspective. Lesson for Peace and Reconciliation Studies,2024,10.1007/978-3-031-47839-0_4,"Reconciliation, Conflict Transformation, and Peace Studies",scopus_export_Jul_20_2026_277d0d4e_8cec_41d0_949e_a0aed8804d---889f2c01-e00c-4860-8d84-6bada358a98e.ris,triage_no_abstract,Exclude,triage,
