zotero_key,title,doi,date,item_type,provenance,status,has_pdf,pdf_key,pdf_filename,text_path,extraction_ok,note
JNRVCSBP,A Survey of Smart City Assets for Future Military Usage,,2018,conferencePaper,wos,valid,True,J6ZIKJYS,A_Survey_of_Smart_City_Assets_for_Future_Military_Usage.pdf,Diss_Methods_Data/corpus/text/A_Survey_of_Smart_City_Assets_for_Future_Military_Usage.txt,True,
2Q5YJZII,Algorithmic patrol: The futures of predictive policing,10.4324/9781315395784,2017,bookSection,scopus,valid,True,45CNIUKR,Wilson - 2017 - Algorithmic patrol The futures of predictive policing.pdf,Diss_Methods_Data/corpus/text/Algorithmic_patrol__The_futures_of_predictive_policing.txt,True,
EZWL57WI,An advanced telereflexive tactical response robot,10.1023/A:1011204111813,2001,journalArticle,wos,valid,True,P5IPPAJJ,Everett et al. - 2001 - An advanced telereflexive tactical response robot.pdf,Diss_Methods_Data/corpus/text/An_advanced_telereflexive_tactical_response_robot.txt,True,
5W27FIQY,Constructing Urbicide in the Modern War on Terror: Surveillance and the Politics of Categorical Exclusion in Public Space in Xinjiang,,2022,book,wos,no_pdf,False,,,,False,No PDF attachment
DCVB9X9K,Privacy and Ethics in a Smart City: Towards Attaining Digital Sovereignty,10.1007/978-3-031-24946-4_4,2023,bookSection,,valid,True,S3VMUPXA,Momen - 2023 - Privacy and Ethics in a Smart City Towards Attaining Digital Sovereignty.pdf,Diss_Methods_Data/corpus/text/Privacy_and_Ethics_in_a_Smart_City__Towards_Attaining_Digital_Sovereignty.txt,True,
5QZY33W7,Wargaming and the Just War,10.1201/9781003440253-9,2025,journalArticle,scopus,valid,True,WLX8PBCD,Burden - 2025 - Wargaming and the Just War.pdf,Diss_Methods_Data/corpus/text/Wargaming_and_the_Just_War.txt,True,
J4HFAWNV,Robowar™ dreams US military technophilia and global south urbanisation,10.1080/13604810801933511,2008,journalArticle,scopus,valid,True,ILDT5DNA,Graham - 2008 - Robowar™ dreams US military technophilia and global south urbanisation.pdf,Diss_Methods_Data/corpus/text/Robowar__dreams_US_military_technophilia_and_global_south_urbanisation.txt,True,
SQRKACQ8,Time-series satellite remote sensing reveals gradually increasing war damage in the Gaza Strip,10.1093/nsr/nwae304,2024,journalArticle,scopus,no_pdf,False,,,,False,No PDF attachment
ELI48Q72,"Trilford, Harris and Cuda. 2025. The Islands of Occupied Palestine: Analyzing the Urbicide and Spatial Disruption of the Israeli Apartheid Wall in the West Bank through Space Syntax Analysis Case Studies of Qalqilya and Abu Dis. Depthmap Models",10.6084/M9.FIGSHARE.29135609.V1,2025,dataset,wos,no_pdf,False,,,,False,No PDF attachment
2U7Z78J2,Radar the next generation - Sensors as robots,10.1109/RADAR.2003.1278702,2003,conferencePaper,wos,valid,True,RZDVVEAF,Wicks et al. - 2003 - Radar the next generation - Sensors as robots.pdf,Diss_Methods_Data/corpus/text/Radar_the_next_generation_-_Sensors_as_robots.txt,True,
