title,authors,year,doi,item_type,abstract,keywords,status,pdf_filename,text_path,extraction_ok,note
Algorithmic War: Everyday Geographies of the War on Terror,Louise Amoore,2009,10.1111/j.1467-8330.2008.00655.x,JOUR,"Abstract: Technologies that deploy algorithmic calculation are becoming ubiquitous to the homeland securitization of the war on terror. From the surveillance networks of the city subway to the biometric identifiers of new forms of border control, the possibility to identify “association rules” between people, places, objects and events has brought the logic of pre‐emption into the most mundane and prosaic spaces. Yet, it is not the case that the turn to algorithmic calculation simply militarizes society, nor even that we are witnessing strictly a commercialization of security. Rather, algorithmic war is one form of Foucault's sense of a “continuation of war by other means”, where the war‐like architectures of self/other, here/there, safe/risky, normal/suspicious are played out in the politics of daily life. This paper explores the situated interplay of algorithmic practices across commercial, security, and military spheres, revealing the violent geographies that are concealed in the glossy techno‐science of algorithmic calculation.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,Algorithmic_War__Everyday_Geographies_of_the_War_on_Terror.pdf,Diss_Methods_Data/corpus/text_snowball/Algorithmic_War__Everyday_Geographies_of_the_War_on_Terror.txt,True,
Unplug and Play: Manufacturing Collapse in Gaza,Omar Jabary Salamanca,2011,10.1177/194277861100400103,JOUR,"This article examines how colonial violence has been recast in light of Israel's disengagement from Gaza during the summer 2005. By looking at infrastructural networks —the systems that distribute water, electricity, sewage, fuel etc—it explores how far from ending the occupation, disengagement provided a distinct spatial scale from which to experiment new methods of control and repression. In particular, it seeks to expose how these life support systems function as geopolitical sites of spatial control and as biopolitical tools to regulate and suppress life. Specially, it illustrates how the mobilization of discourses, strategies and doctrines, criminalize these critical systems turning them into ‘legitimate’ and ‘pre-emptive’ targets. Drawing on the destruction of Gaza's only power plant and the subsequent sanctions on electricity and fuel, it argues that the destruction and manipulation of infrastructural networks has severe consequences, particularly in public health. In exploring these claims with respect to Gaza, the article draws attention to the ways in which infrastructures play a crucial role in regulating the elastic Gaza's humanitarian collapse. The article closes introducing the concept of infrastructural violence as way to further explore this discussion.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,Unplug_and_Play__Manufacturing_Collapse_in_Gaza.pdf,Diss_Methods_Data/corpus/text_snowball/Unplug_and_Play__Manufacturing_Collapse_in_Gaza.txt,True,
"Constructing resilience through security and surveillance: The politics, practices and tensions of security-driven resilience",Jon Coaffee,2015,10.1177/0967010614557884,JOUR,"Abstract This article illuminates how, since 9/11, security policy has gradually become more central to a range of resilience discourses and practices. As this process draws a wider range of security infrastructures, organizations and approaches into the enactment of resilience, security practices are enabled through more palatable and legitimizing discourses of resilience. This article charts the emergence and proliferation of security-driven resilience logics, deployed at different spatial scales, which exist in tension with each other. We exemplify such tensions in practice through a detailed case study from Birmingham, UK: ‘Project Champion’ an attempt to install over 200 high-resolution surveillance cameras, often invisibly, around neighbourhoods with a predominantly Muslim population. Here, practices of security-driven resilience came into conflict with other policy priorities focused upon community-centred social cohesion, posing a series of questions about social control, surveillance and the ability of national agencies to construct community resilience in local areas amidst state attempts to label the same spaces as ‘dangerous’. It is argued that security-driven logics of resilience generate conflicts in how resilience is operationalized, and produce and reproduce new hierarchical arrangements which, in turn, may work to subvert some of the founding aspirations and principles of resilience logic itself.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,Constructing_resilience_through_security_and_surveillance__The_politics__practices_and_tensions_of_security-driven_resilience.pdf,Diss_Methods_Data/corpus/text_snowball/Constructing_resilience_through_security_and_surveillance__The_politics__practices_and_tensions_of_security-driven_resilience.txt,True,
Postmortem city,Stephen Graham,2004,10.1080/1360481042000242148,JOUR,"We tend to see contemporary cities through a peace‐time lens and war as somehow exceptional. In this ambitious paper, long in historical range and global in geographical scope, Steve Graham unmasks and displays the very many ways in which warfare is intimately woven into the fabric of cities and practices of city planners. He draws out the aggression which we should see as the counterpart of the defensive fortifications of historic towns, continues with the re‐structuring—often itself violent—of Paris and of many other cities to enable the oppressive state forces to patrol and subordinate the feared masses. Other examples take us through the fear of aerial bombardment as an influence on Le Corbusier and modernist urban design to the meticulous planners who devised and monitored the slaughter in Dresden, Tokyo and other targets in World War 2. Later episodes, some drawing on previously classified material, show how military thinking conditioned urbanisation in the Cold War and does so in the multiple 'wars’ now under way—against 'terrorism’ and the enemy within . City has carried some exceptional work on war and 'urbicide’ but this paper argues that, for the most part, the social sciences are in denial and ends with a call for action to confront, reveal and challenge the militarisation of urban space.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,Postmortem_city.pdf,Diss_Methods_Data/corpus/text_snowball/Postmortem_city.txt,True,
"From Urban Catastrophe to ‘Model’ City? Politics, Security and Development in Post-conflict Kigali",Tom Goodfellow,2013,10.1177/0042098013487776,JOUR,"In the years immediately after the 1994 Rwandan genocide, Kigali was a site of continuing crisis amid extraordinary levels of urban population growth, as refugees returned to Rwanda in their millions. Yet unlike many post-conflict cities that spiral into endemic crime and instability, it was rapidly securitised in the context of political consolidation and large amounts of foreign aid, and hailed by the UN as a ‘model, modern city’. This paper analyses the government’s approach to securitising Kigali, interrogating how its rapid trajectory from epicentre of conflict to carefully planned showcase for development has been achieved. It is argued that Kigali bears the weight of many of Rwanda’s development aspirations and keeping it secure and orderly is viewed as critical by the government. After examining the national and local processes through which the government has aimed to achieve ‘secure urbanisation’, the potential longer-term implications of its urban development strategy are considered.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,From_Urban_Catastrophe_to__Model__City__Politics__Security_and_Development_in_Post-conflict_Kigali.pdf,Diss_Methods_Data/corpus/text_snowball/From_Urban_Catastrophe_to__Model__City__Politics__Security_and_Development_in_Post-conflict_Kigali.txt,True,
When Life Itself is War: On the Urbanization of Military and Security Doctrine,Stephen Graham,2011,10.1111/j.1468-2427.2011.01026.x,JOUR,"Abstract It is now well established that both the ‘war on terror’ and its offshoots have been conspicuously marked by overwhelmingly urban discourses, materialities and practices. Deliberately transdisciplinary, synthetical and polemical in scope, this article seeks to demonstrate that new ideologies of permanent and boundless war are radically intensifying the militarization of urban life in the contemporary period. The article delineates the ways in which contemporary processes of militarization — which surround what I label the ‘new military urbanism’— raise fundamental questions for critical urban scholarship because of the ways in which they work to normalize the permanent targeting of everyday urban sites, circulations and populations. Focusing primarily on US security and military doctrine, culture and technology, this article explores the new military urbanism's five interrelated foundations in detail, namely: the urbanization of military and security doctrine; the links between militarized control technologies and digitized urban life; the cultural performances of militarized media consumption; the emerging urban political economies of the ‘security’ industries; and the new state spaces of violence. Following the elaboration of each of these themes, the article concludes by identifying ways forward for critical urban research in exposing and confronting the normalization of the new military urbanism. Résumé Il est désormais établi que la ‘guerre contre le terrorisme’ et ses ramifications ont été visiblement marquées par une vague de pratiques, de productions matérielles et de discours urbains. D’une portée délibérément transdisciplinaire, synthétique et polémique, cet article montre que les nouvelles idéologies de guerre permanente sans frontières renforcent profondément la militarisation de la vie urbaine contemporaine. Les processus de militarisation contemporains (entourant ce qui est baptisé ici ‘le nouvel urbanisme militaire’) soulèvent des questions fondamentales pour la recherche urbaine critique, du fait qu’ils contribuent à normaliser la prise pour cible des populations, flux et sites urbains ordinaires. S’attachant surtout à la doctrine, la culture et la technologie militaires et sécuritaires américaines, une analyse détaille les cinq fondements en interrelation de ce nouvel urbanisme militaire: l’urbanisation de la doctrine militaro‐sécuritaire; les liens entre technologies de contrôle militarisées et vie urbaine numérisée; les spectacles culturels consommés via les médias militarisés; les économies politiques urbaines naissantes des ‘industries de la sécurité’; les nouveaux espaces de violence nationaux. Une fois ces différents thèmes développés, la conclusion vient proposer des axes d’études urbaines critiques à travers l’exposé et la remise en cause de la normalisation propre au nouvel urbanisme militaire.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,When_Life_Itself_is_War__On_the_Urbanization_of_Military_and_Security_Doctrine.pdf,Diss_Methods_Data/corpus/text_snowball/When_Life_Itself_is_War__On_the_Urbanization_of_Military_and_Security_Doctrine.txt,True,
"Network-Centric Violence, Critical Infrastructure and the Urbanization of Security",Martin Coward,2009,10.1177/0967010609342879,JOUR,"Abstract This article addresses the question of whether contemporary global urbanization is characterized by a distinctive relationship between the city and warfare. In particular, it examines the specific way in which two particular forms of warfare — so-called Al-Qaeda terrorism and US tactics in Iraq — target urban infrastructure. I argue that infrastructure is targeted because it is a constitutive feature of contemporary urban life. Metropolitan life is marked by its constitutive relation to urban infrastructure. The article thus suggests that this targeting of infrastructure provides a lens through which to investigate some of the central questions posed by the contemporary urbanization of security.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,Network-Centric_Violence__Critical_Infrastructure_and_the_Urbanization_of_Security.pdf,Diss_Methods_Data/corpus/text_snowball/Network-Centric_Violence__Critical_Infrastructure_and_the_Urbanization_of_Security.txt,True,
"Experiences of Urban Militarism: Spatial Stigma, Ruins and Everyday Life",Silvia Pasquetti,2019,10.1111/1468-2427.12797,JOUR,"Abstract A key question in urban sociology is how people interpret the urban environment. At a time when cities are increasingly militarized, this question is particularly important for understanding how militarism impacts urban life. However, urban sociologists have not addressed how people experience militarized environments. This article turns to this question by considering the case of Lydda‐Lod, an Israeli city that has been demographically and physically transformed by war, displacement and securitization. Drawing on Wacquant's sociology of spatial stigma and adding insights from works on emotions in (post‐)conflict cities, I examine how poor Palestinians think and feel about the surveilled districts where they live within the city's broader landscape of ruins. I show how the Israeli military, security and policing agencies have collectively produced spatial stigmatization of these districts. I discuss how Palestinians respond to this spatial stigma by attaching a sense of worthlessness to their districts. However, this reproduction of spatial stigma is punctuated by expressions of care for the built environment and by a desire to revalorize collective Palestinian life in the city. I conclude by discussing how a perspective on militarized cities focused on everyday responses to militarism and attentive to marginalities enriches urban sociology and urban studies more generally.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,Experiences_of_Urban_Militarism__Spatial_Stigma__Ruins_and_Everyday_Life.pdf,Diss_Methods_Data/corpus/text_snowball/Experiences_of_Urban_Militarism__Spatial_Stigma__Ruins_and_Everyday_Life.txt,True,
Policing Development: Urban Renewal as Neo-liberal Security Strategy,Tony Roshan Samara,2009,10.1177/0042098009349772,JOUR,"This paper examines the evolution of policing in the townships of Cape Town in the context of a neo-liberalising city. Policing is situated in relation to the shifting meaning of security, the city’s emphasis on economic growth and attempts to develop the townships through a law-enforcement-driven urban renewal process. Research conducted in the city suggests that current approaches to urban renewal risk exacerbating social instability by reproducing aggressive forms of policing associated with the apartheid era. Further, as crime is framed as a security threat because of the danger it is thought to pose to market-led growth, urban governance in the townships increasingly takes on the character of a containment strategy. Current security ideology and policing practice create an expanding law enforcement web in which millions of poor residents are caught annually and which appears to undermine the very developmental goals used to justify its expansion.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,Policing_Development__Urban_Renewal_as_Neo-liberal_Security_Strategy.pdf,Diss_Methods_Data/corpus/text_snowball/Policing_Development__Urban_Renewal_as_Neo-liberal_Security_Strategy.txt,True,
Living Beirut's Security Zones: An Investigation of the Modalities and Practice of Urban Security,Mona Fawaz,2012,10.1111/j.1548-744x.2012.01074.x,JOUR,"Abstract Over the past decade, security has gained enormous attention in the urban literature, reflecting its visibly increasing presence in cities worldwide. It is now widely acknowledged that security is a structuring force for cities both historically and now. Few scholars have however looked at the implications of security on the daily practices of urban dwellers. Based on extensive fieldwork during which we developed a street by street survey of security mechanisms in Beirut (Lebanon), interviewed city dwellers, and worked with artists and local writers reflecting of “security issues”, this paper describes “security” as the accumulation of a set of constructed threats that bring together a multiplicity of forms and agents of securitization, both public and private, and generate new forms of social hierarchies with unequal repercussions on city dwellers. Far from the coherent symbol of an independent sovereign, we argue that security acts in Beirut as a reflection of and a catalyst for social and political divisions.",Graham-2006-forward; SLR-Include; snowball ER  -,valid,Living_Beirut_s_Security_Zones__An_Investigation_of_the_Modalities_and_Practice_of_Urban_Security.pdf,Diss_Methods_Data/corpus/text_snowball/Living_Beirut_s_Security_Zones__An_Investigation_of_the_Modalities_and_Practice_of_Urban_Security.txt,True,
